Cash Surplus,Consumer Price Inflation,Exports goods and services growth,Import goods and services growth,Foreign direct investment inflows,Gross Savings,Labour Participation,Secondary School,Unemployment,Vulnerable Employment,GDP Growth
-2.7245898739,6.7332372138,12.3119407488,10.8870378385,2.2446242315,18.4549234075,69.75,78.416485,8.8499999046,30.6999998093,4.435134652
-3.5940946671,6.8673495806,9.3306434181,8.469686626,1.7524634053,17.8615248916,70.0999984741,78.89188,8.3999996185,28.3999996185,3.1563523881
-3.2396318163,5.5255150553,7.1860809024,13.4592875319,1.7660192748,17.9443392747,69.9500007629,73.76945,8.25,27.8000001907,3.5558838287
-2.8851689655,4.18368053,5.0415183867,18.4488884377,1.7795751443,18.0271536578,69.8000030518,68.64702,8.1000003815,27.2000007629,3.9554152693
-2.3779631126,3.9103542303,5.6200753362,19.161539279,2.5205219851,18.2452169631,69.6000022888,73.294055,7.6000001431,27.1000003815,5.025435123
-1.8707572597,3.6370279306,6.1986322856,19.8741901203,3.261468826,18.4632802683,69.4000015259,77.94109,7.0999999046,27,6.0954549768
-1.5397258166,4.6500632262,3.3720559471,17.6154341368,3.164306177,18.8456451574,69.5,79.965735,7.7000000477,26.1000003815,5.6323769956
-1.2086943735,5.6630985218,0.5454796085,15.3566781532,3.0671435281,19.2280100465,69.5999984741,81.99038,8.3000001907,25.2000007629,5.1692990144
-2.339325944,5.2747534824,-4.2902082156,3.8792389613,2.5051063698,17.7273287206,69.7000007629,73.886385,7.3500001431,25.1500005722,2.4205254873
-3.4699575145,4.886408443,-9.1258960398,-7.5982002305,1.9430692114,16.2266473948,69.8000030518,65.78239,6.4000000954,25.1000003815,-0.3282480399
-2.5693163511,4.962362698,1.1963976486,14.1191259703,2.2161392027,17.0408753448,69.8500022888,71.86174,6.75,26.0500001907,3.6026837065
-1.6686751876,5.0383169529,11.518691337,35.8364521711,2.489209194,17.8551032948,69.9000015259,77.94109,7.0999999046,27,7.5336154529
-2.1254428354,5.8372578051,8.0040937504,22.7927100973,2.6888658805,17.7068910339,69.9000015259,78.416485,7.7499997616,27.6999998093,5.1330623481
