Cash Surplus,Consumer Price Inflation,Exports goods and services growth,Import goods and services growth,Foreign direct investment inflows,Gross Savings,Labour Participation,Secondary School,Unemployment,Vulnerable Employment,GDP Growth
1.5080260348,3.0583106724,4.9562370419,-20.3116701548,0.9769233689,39.3871300334,78.6999969482,37.65097,2.5,5.5,3.8
1.4569723365,3.300942986,7.804179932,-2.8320037944,1.0637397645,39.4597698527,78.8499984741,39.01978,2.3999999762,5.5,6.5
1.4059186381,3.5435752997,10.6521228221,14.6476625661,1.1505561601,39.532409672,79,40.38859,2.2999999523,5.5,9.2
1.2824395542,4.9419600907,11.5312030363,24.0989316162,1.8950121177,39.243480711,79.0499992371,42.136365,2.2999999523,5.5,11.7
1.1589604703,6.3403448818,12.4102832505,33.5502006663,2.6394680752,38.9545517501,79.0999984741,43.88414,2.2999999523,5.5,14.2
1.1498985335,10.4618054398,12.6389627078,33.5235608815,4.4428831691,40.4288293366,79,45.480005,2.4499999285,5.5,14.1
1.1408365966,14.5832659978,12.867642165,33.4969210967,6.2462982629,41.9031069231,78.9000015259,47.07587,2.5999999046,5.5,14
1.2603848159,19.4101770086,20.8186954948,21.7644367796,6.1440278194,42.6885727677,78.8500022888,47.913535,2.6999999285,5.4000000954,13.55
1.3799330351,24.2370880195,28.7697488247,10.0319524624,6.0417573759,43.4740386122,78.8000030518,48.7512,2.7999999523,5.3000001907,13.1
1.4879847667,20.5670759972,18.8294836006,11.5178518168,5.4830246669,43.1423517124,78.6500015259,50.493945,2.8500000238,5.3500001431,12
1.5960364983,16.897063975,8.8892183766,13.0037511712,4.924291958,42.8106648125,78.5,52.23669,2.9000000954,5.4000000954,10.9
1.5134836704,12.610539518,10.7718500898,13.6957313594,4.8088763098,42.353452868,78.4000015259,54.11952,2.9500000477,5.3500001431,10.45
1.4309308425,8.3240150609,12.654481803,14.3877115475,4.6934606616,41.8962409234,78.3000030518,56.00235,3,5.3000001907,10
2.0761539578,5.565429123,17.7904698522,12.7540972197,4.6685103626,42.1060913733,78.1500015259,57.076865,3.0499999523,5.1500000954,9.65
2.7213770732,2.8068431851,22.9264579014,11.1204828918,4.6435600635,42.3159418231,78,58.15138,3.0999999046,5,9.3
