Cash Surplus,Consumer Price Inflation,Exports goods and services growth,Import goods and services growth,Foreign direct investment inflows,Gross Savings,Labour Participation,Secondary School,Unemployment,Vulnerable Employment,GDP Growth
-3.3279746701,8.9712335433,11.1044182148,3.3658227632,0.0724691341,23.4162634831,61,44.70228,3.7000000477,83.0999984741,5.5334545628
-2.7693118401,11.4207398152,10.383352272,1.6905116228,0.0496127162,23.0534348421,60.9500007629,44.70228,3.7000000477,83.0999984741,3.2951429997
-2.2106490101,13.8702460872,9.6622863292,0.0152004824,0.0267562983,22.6906062011,60.9000015259,44.70228,3.7000000477,83.0999984741,1.0568314366
-2.2387641751,12.8290326697,7.2777652898,10.5716398969,0.0605223592,23.2319106881,60.9000015259,44.70228,3.7000000477,83.0999984741,3.2696137283
-2.26687934,11.7878192521,4.8932442504,21.1280793113,0.0942884202,23.7732151751,60.9000015259,44.70228,3.7000000477,83.0999984741,5.4823960201
-3.0519801825,9.0749289578,9.3364190078,20.1976720567,0.1439742933,22.9520727655,60.9000015259,44.70228,3.7000000477,83.0999984741,5.116586121
-3.8370810249,6.3620386635,13.7795937651,19.2672648022,0.1936601665,22.130930356,60.9000015259,44.70228,3.7000000477,83.0999984741,4.7507762219
-3.0997964779,8.2867694975,13.4116294257,20.9344290651,0.2429605934,23.2700075104,60.9000015259,44.920825,3.7000000477,83.0999984741,5.7048501439
-2.362511931,10.2115003314,13.0436650862,22.6015933279,0.2922610204,24.4090846649,60.9000015259,45.13937,3.7000000477,83.0999984741,6.658924066
-2.2528083575,10.2181939444,22.2198690891,25.3637358245,0.4384968744,25.3902047249,60.75,45.09671,2.9500000477,83.0999984741,7.1167079525
-2.1431047841,10.2248875574,31.3960730919,28.1258783211,0.5847327285,26.3713247848,60.5999984741,45.05405,2.2000000477,83.0999984741,7.574491839
-2.0635012705,9.6010183154,18.8429017646,12.8429453001,0.595785147,24.7012738741,60.5,45.14881,2.1499999762,83.0999984741,7.5620070459
-1.9838977569,8.9771490734,6.2897304373,-2.4399877208,0.6068375656,23.0312229634,60.4000015259,45.24357,2.0999999046,83.0999984741,7.5495222528
-2.3630432476,8.0707013468,1.9807771006,5.3803481968,0.7261107311,24.4969845961,60.3000011444,45.631585,2.3499999046,83.25,5.7996715497
-2.7421887384,7.1642536202,-2.3281762362,13.2006841144,0.8453838965,25.9627462287,60.2000007629,46.0196,2.5999999046,83.4000015259,4.0498208465
-2.9940766507,10.1975472619,5.7780727993,17.0231377214,0.729946383,24.8098092383,60.0500011444,45.664895,3.0999999046,83.4000015259,5.1171183346
-3.2459645631,13.2308409036,13.8843218347,20.8455913285,0.6145088696,23.6568722479,59.9000015259,45.31019,3.5999999046,83.4000015259,6.1844158227
-3.2439959276,8.9503309642,15.9418956574,13.9190491971,0.5407654963,25.3731608648,59.8000011444,44.37764,3.5999999046,83.4000015259,7.3237433284
-3.2420272921,4.6698210249,17.9994694801,6.9925070657,0.467022123,27.0894494817,59.7000007629,43.44509,3.5999999046,83.4000015259,8.4630708341
-3.5008907221,4.3396274935,18.0764902528,5.7911117639,0.6110421889,26.2274832815,59.6000003815,44.37764,3.9500000477,83.4000015259,6.2190617578
-3.7597541521,4.0094339622,18.1535110255,4.5897164621,0.7550622547,25.3655170813,59.5,45.31019,4.3000001907,83.4000015259,3.9750526816
-4.0232727033,3.8471206093,11.2315177716,3.7669825179,0.9331957506,26.2628824508,59.6000003815,45.421415,4.3000001907,83.4000015259,4.4596395274
-4.2867912545,3.6848072563,4.3095245177,2.9442485737,1.1113292464,27.1602478204,59.7000007629,45.53264,4.3000001907,83.4000015259,4.9442263732
-4.4391777937,4.0385035004,12.6972636668,7.4705339751,1.0937342584,26.9066724532,59.8500003815,46.43739,4.3000001907,83.25,4.4258801701
-4.5915643329,4.3921997445,21.085002816,11.9968193766,1.0761392703,26.6530970859,60,47.34214,4.3000001907,83.0999984741,3.9075339671
-3.9833854436,4.0990328334,15.3336113686,12.9403681639,0.8880485546,27.5761435614,60.1499996185,48.55553,4.3000001907,83.0999984741,5.9257642855
-3.3752065544,3.8058659223,9.5822199213,13.8839169513,0.6999578389,28.4991900369,60.2999992371,49.76892,4.3000001907,83.0999984741,7.943994604
-3.2876235103,3.7865522006,18.3793158706,18.0395758449,0.7498829368,30.7394852592,60.4499988556,50.57854,4.3500001431,83.0999984741,7.8963978966
-3.2000404662,3.7672384789,27.1764118199,22.1952347385,0.7998080347,32.9797804816,60.5999984741,51.38816,4.4000000954,83.0999984741,7.8488011891
-3.1889625594,4.0067959009,26.625122935,27.3914411796,0.8356064854,33.4406313042,60.6999988556,52.62208,4.4000000954,83.0999984741,8.5668367546
-3.1778846525,4.246353323,26.07383405,32.5876476208,0.8714049362,33.9014821268,60.7999992371,53.856,4.4000000954,83.0999984741,9.2848723201
-2.7103928008,5.1959378565,23.2146325914,27.0340941241,1.4908476256,34.5693716266,60.25,54.26355,4.4000000954,83.0999984741,9.2744185348
-2.2429009492,6.14552239,20.3554311329,21.4805406275,2.110290315,35.2372611264,59.7000007629,54.6711,4.4000000954,83.0999984741,9.2639647495
-1.3567580591,6.2577595669,13.14072713,15.8367244102,2.0734602016,35.9977709348,59.2000007629,55.855405,4.4000000954,83.0999984741,9.5326625379
-0.470615169,6.3699967439,5.9260231272,10.1929081929,2.0366300882,36.7582807431,58.7000007629,57.03971,4.4000000954,83.0999984741,9.8013603262
-2.670413983,7.3609065942,10.26171408,16.4532221253,2.7913073128,35.406894872,58.1499996185,58.600905,3.9500000477,81.9500007629,6.8461593126
-4.8702127969,8.3518164444,14.5974050327,22.7135360577,3.5459845373,34.0555090009,57.5999984741,60.1621,3.5,80.8000030518,3.8909582991
-5.1444563086,9.6146037821,4.9559811242,10.2886994718,3.0759832901,34.0797839321,57.0999984741,59.84859,3.5,80.8000030518,6.1853718211
-5.4186998202,10.8773911198,-4.6854427844,-2.1361371142,2.6059820428,34.1040588633,56.5999984741,59.53508,3.5,80.8000030518,8.4797853431
-4.530950682,11.4348440188,7.5035294712,6.8387730985,2.0774878738,34.5410681268,56.0999984741,61.37479,3.5,80.8000030518,9.5130834038
