Cash Surplus,Consumer Price Inflation,Exports goods and services growth,Import goods and services growth,Foreign direct investment inflows,Gross Savings,Labour Participation,Secondary School,Unemployment,Vulnerable Employment,GDP Growth
4.2346660373,874.6218468946,18.16,-46.417347071,0.2522786484,29.7144182395,67.6999969482,96.3822,5.1999998093,0.8000000119,-2.9999956419
4.2346660373,874.6218468946,15.715,-46.417347071,0.2522786484,29.7144182395,67.2999992371,95.66869,5.1999998093,0.8000000119,-4.023467547
4.2346660373,874.6218468946,13.27,-46.417347071,0.2522786484,29.7144182395,66.9000015259,94.95518,5.1999998093,0.8000000119,-5.0469394521
4.2346660373,874.6218468946,37.795,-39.7706733135,0.2522786484,29.7144182395,66.25,94.046305,5.1999998093,0.8000000119,-9.7890066127
4.2346660373,874.6218468946,62.32,-33.1239995559,0.2522786484,29.7144182395,65.5999984741,93.13743,5.1999998093,0.8000000119,-14.5310737732
4.2346660373,874.6218468946,50.26,-21.6412943727,0.2653154903,29.7144182395,64.4499988556,92.09346,5.5499999523,0.9500000179,-11.5998070576
4.2346660373,874.6218468946,38.2,-10.1585891894,0.2783523322,29.7144182395,63.2999992371,91.04949,5.9000000954,1.1000000238,-8.6685403419
4.2346660373,591.1281280501,32.98,-2.9703621722,0.2264988033,29.7144182395,62.1499996185,90.46631,7.0000002384,1.3500000238,-10.6191481603
4.2346660373,307.6344092056,27.76,4.217864845,0.1746452745,29.7144182395,61,89.88313,8.1000003815,1.6000000238,-12.5697559787
4.2346660373,252.5528969604,28.525,12.687490122,0.3483657807,28.9884270937,60.8999996185,90.13567,8.75,1.8000000119,-8.3566421927
4.2346660373,197.4713847153,29.29,21.1571153989,0.5220862869,28.2624359479,60.7999992371,90.38821,9.3999996185,2,-4.1435284067
4.2346660373,122.6065256903,27.68,11.2285576994,0.5902311902,27.5790904436,60.25,90.63107,9.5499997139,2.1000000238,-3.8717642033
4.2346660373,47.7416666653,26.07,1.3,0.6583760935,26.8957449393,59.7000007629,90.87393,9.6999998093,2.2000000477,-3.6
4.2346660373,31.254216491,25.4,0.85,0.9298702524,24.6610621125,58.8999996185,90.87526,10.75,2.5500000715,-1.1
4.2346660373,14.7667663167,24.73,0.4,1.2013644114,22.4263792857,58.0999984741,90.87659,11.8000001907,2.9000000954,1.4
4.2346660373,21.2208039058,27.975,-8.5,1.1102279218,20.1829224825,57.5999984741,91.350835,12.5500001907,2.9000000954,-1.95
4.2346660373,27.6748414949,31.22,-17.4,1.0190914322,17.9394656792,57.0999984741,91.82508,13.3000001907,2.9000000954,-5.3
4.2346660373,56.7083115032,37.22,-17.2,1.3541941507,23.6715014201,59.0999984741,92.064845,13.1500000954,5.5499999523,0.55
4.2346660373,85.7417815116,43.22,-17,1.6892968693,29.403537161,61.0999984741,92.30461,13,8.1999998093,6.4
4.2346660373,53.2590611939,43.64,7.7,1.3672016123,33.2601097657,61.1499996185,92.30461,11.8000001907,7.9499998093,8.2
4.2346660373,20.7763408763,44.06,32.4,1.0451063554,37.1166823704,61.2000007629,92.30461,10.6000003815,7.6999998093,10
4.2346660373,21.1171029498,40.475,25.5575578084,0.9707367445,35.2779991326,60.6000003815,91.97326,9.8000001907,6.8499999046,7.5459921156
4.2346660373,21.4578650233,36.89,18.7151156168,0.8963671335,33.4393158948,60,91.64191,9,6,5.0919842313
5.6325334889,18.6249330607,36.07,16.6502619823,0.94963635,31.3571808583,60.2000007629,91.64191,8.4500000477,6,4.9178270641
7.0304009406,15.7920010981,35.25,14.5854083477,1.0029055664,29.2750458217,60.4000015259,91.64191,7.9000000954,6,4.7436698968
4.6189781321,14.7358607301,35.25,15.9427041739,1.4260677971,29.6368620232,59.9000015259,91.64191,8.0499999523,5.9000000954,6.0197621137
2.2075553237,13.679720362,35.25,17.3,1.8492300277,29.9986782248,59.4000015259,91.64191,8.1999998093,5.8000001907,7.2958543306
3.7442364048,12.2703375629,34.835,20.3,2.231208469,30.7653089318,59.6500015259,88.509535,8,5.8500001431,7.2359017617
5.2809174859,10.8609547638,34.42,23.3,2.6131869103,31.5319396387,59.9000015259,85.37716,7.8000001907,5.9000000954,7.1759491927
7.5819929328,11.7721471825,34.81,19.95,2.1499044696,31.7358919093,60.1500015259,84.254765,7.5,6.0499999523,6.7760681099
9.8830683797,12.6833396012,35.2,16.6,1.6866220289,31.9398441799,60.4000015259,83.13237,7.1999998093,6.1999998093,6.376187027
8.9545814043,11.1810523606,34.465,18.95,2.3434883416,31.8209191168,60.75,83.191885,7.1999998093,6.0999999046,7.2648095
8.026094429,9.67876512,33.73,21.3,3.0003546543,31.7019940537,61.0999984741,83.2514,7.1999998093,6,8.1534319729
7.1060604962,9.3429961032,31.945,23.75,3.6188567733,31.2926152597,61.5499992371,83.95202,6.6499998569,5.9000000954,8.344256091
6.1860265634,9.0072270865,30.16,26.2,4.2373588923,30.8832364656,62,84.65264,6.0999999046,5.8000001907,8.5350802091
5.9029419047,11.5574902968,30.735,20.5,4.3766370923,32.0271566356,62.2999992371,85.325885,6.2000000477,5.75,6.8915168706
5.6198572461,14.1077535071,31.31,14.8,4.5159152923,33.1710768057,62.5999984741,85.99913,6.3000001907,5.6999998093,5.2479535322
0.7052944081,12.880915683,34.625,-7.8,3.7506039758,28.4179626426,62.6499996185,87.28545,7.3499999046,5.6999998093,-1.2864657473
-4.2092684299,11.6540778588,37.94,-30.4,2.9852926593,23.6648484796,62.7000007629,88.57177,8.3999996185,5.6999998093,-7.8208850268
-3.0609630163,9.2560485692,33.945,-2.3,2.9476797512,26.0696873909,62.7000007629,88.57177,7.9499998093,5.6999998093,-1.6585797006
-1.9126576027,6.8580192795,29.95,25.8,2.9100668431,28.4745263022,62.7000007629,88.57177,7.5,5.6999998093,4.5037256256
1.1610042173,7.6465101531,30.5,23.05,2.8782043474,29.9191839275,62.8500003815,88.57177,7.0499999523,5.6999998093,4.3973612447
4.2346660373,8.4350010266,31.05,20.3,2.8463418517,31.3638415527,63,88.57177,6.5999999046,5.6999998093,4.2909968637
